Average of latency,Column Labels,,,
16450065311,,79.19935691,,79.19935691
16450065312,,78.0733945,,78.0733945
16450065313,,79.90184049,,79.90184049
16450065314,,79.75766871,,79.75766871
16450065315,,78.37003058,,78.37003058
16450065316,,79.21630094,,79.21630094
16450065317,,78.76282051,,78.76282051
16450065318,,78.71554252,,78.71554252
16450065319,,79.33544304,,79.33544304
16450065320,,78.91793313,,78.91793313
16450065321,,79.45631068,,79.45631068
16450065322,,77.32424242,,77.32424242
16450065323,,85.00311526,,85.00311526
16450065324,,77.06422018,,77.06422018
16450065325,,78.60443038,,78.60443038
16450065326,,79.04672897,,79.04672897
16450065327,,78.96296296,,78.96296296
16450065328,,79.46302251,,79.46302251
16450065329,,77.48297214,,77.48297214
16450065330,,78.47058824,,78.47058824
16450065331,,79.34650456,,79.34650456
16450065332,,77.99693252,,77.99693252
16450065333,,79.44859813,,79.44859813
16450065334,,78.10638298,,78.10638298
16450065335,,76.68888889,,76.68888889
16450065336,,79.20408163,,79.20408163
16450065337,,83.45779221,,83.45779221
16450065338,,79.16770186,,79.16770186
16450065339,,77.24382716,,77.24382716
16450065340,,80.65030675,,80.65030675
16450065341,,78.62658228,,78.62658228
16450065342,,97.5,,97.5
16450065343,,75.27164179,,75.27164179
16450065344,,73.77846154,,73.77846154
16450065345,,74.32218845,,74.32218845
16450065346,,92.09063444,,92.09063444
16450065347,,73.49185668,,73.49185668
16450065348,,75.00294118,,75.00294118
16450065349,,73.1086262,,73.1086262
16450065350,,75.42990654,,75.42990654
16450065351,,79.49541284,,79.49541284
16450065352,,79.01197605,,79.01197605
16450065353,,79.51234568,,79.51234568
16450065354,,77.58805031,,77.58805031
16450065355,,80.97805643,,80.97805643
16450065356,,79.42201835,,79.42201835
16450065357,,79.42271293,,79.42271293
16450065358,,78.70336391,,78.70336391
16450065359,,79.32802548,,79.32802548
16450065360,,76.92581602,,76.92581602
16450065361,,80.04504505,,80.04504505
16450065362,,80.30927835,,80.30927835
16450065363,,78.3148688,,78.3148688
16450065364,,78.32621951,,78.32621951
16450065365,,79.70532915,,79.70532915
16450065366,,76.72727273,,76.72727273
16450065367,,81.54231975,,81.54231975
16450065368,,79.12772586,,79.12772586
16450065369,,78.49541284,,78.49541284
16450065370,,78.1497006,,78.1497006
16450065371,,79.19808307,,79.19808307
16450065372,,78.60597015,,78.60597015
16450065373,,76.98773006,,76.98773006
16450065374,,81.13414634,,81.13414634
16450065375,,78.64814815,,78.64814815
16450065376,,79.71159875,,79.71159875
16450065377,,78.65605096,,78.65605096
16450065378,,79.33534743,,79.33534743
16450065379,,77.77846154,,77.77846154
16450065380,,78.2866242,,78.2866242
16450065381,,78.4702381,,78.4702381
16450065382,,78.55454545,,78.55454545
16450065383,,79.06472492,,79.06472492
16450065384,,78.89969605,,78.89969605
16450065385,,78.6918429,,78.6918429
16450065386,,80.25531915,,80.25531915
16450065387,,78.825,,78.825
16450065388,,78.14939024,,78.14939024
16450065389,,79.96615385,,79.96615385
16450065390,,79.853125,,79.853125
16450065391,,79.97460317,,79.97460317
16450065392,,79.52229299,,79.52229299
16450065393,,79.25892857,,79.25892857
16450065394,,79.17325228,,79.17325228
16450065395,,78.834375,,78.834375
16450065396,,78.90909091,,78.90909091
16450065397,,79.58160237,,79.58160237
16450065398,,79.03405573,,79.03405573
16450065399,,79.46319018,,79.46319018
16450065400,,79.3757764,,79.3757764
16450065401,,78.84591195,,78.84591195
16450065402,,79.26086957,,79.26086957
16450065403,,81.70627063,,81.70627063
16450065404,,78.91021672,,78.91021672
16450065405,,78.21202532,,78.21202532
16450065406,,78.66568915,,78.66568915
16450065407,,79.88235294,,79.88235294
16450065408,,80.36144578,,80.36144578
16450065409,,78.02469136,,78.02469136
16450065410,,78.24050633,,78.24050633
16450065411,,79.34036145,,79.34036145
16450065412,,77.95327103,,77.95327103
16450065413,,80.79179811,,80.79179811
16450065414,,77.73413897,,77.73413897
16450065415,,78.96036585,,78.96036585
16450065416,,79.65868263,,79.65868263
16450065417,,80.25913621,,80.25913621
16450065418,,78.15384615,,78.15384615
16450065419,,79.24923077,,79.24923077
16450065420,,78.0617284,,78.0617284
16450065421,,78.10240964,,78.10240964
16450065422,,77.9875,,77.9875
16450065423,,79.47289157,,79.47289157
16450065424,,79.07878788,,79.07878788
16450065425,,79.4,,79.4
16450065426,,78.31097561,,78.31097561
16450065427,,79.50461538,,79.50461538
16450065428,,78.85396825,,78.85396825
16450065429,,80.20192308,,80.20192308
16450065430,,79.33529412,,79.33529412
16450065431,,79.33438486,,79.33438486
16450065432,,79.24840764,,79.24840764
16450065433,,77.90962099,,77.90962099
16450065434,,80.37223975,,80.37223975
16450065435,,79.03405573,,79.03405573
16450065436,,75.55657492,,75.55657492
16450065437,,85.79256966,,85.79256966
16450065438,,80.10289389,,80.10289389
16450065439,,79.24683544,,79.24683544
16450065440,,77.59633028,,77.59633028
16450065441,,77.64583333,,77.64583333
16450065442,,78.74617737,,78.74617737
16450065443,,78.33881579,,78.33881579
16450065444,,79.22647059,,79.22647059
16450065445,,80.00917431,,80.00917431
16450065446,,78.77388535,,78.77388535
16450065447,,79.55246914,,79.55246914
16450065448,,79.44545455,,79.44545455
16450065449,,79.5704698,,79.5704698
16450065450,,77.58383234,,77.58383234
16450065451,,79.73192771,,79.73192771
16450065452,,78.87147335,,78.87147335
16450065453,,79.81424149,,79.81424149
16450065454,,77.73573574,,77.73573574
16450065455,,80.32467532,,80.32467532
16450065456,,77.93255132,,77.93255132
16450065457,,81.35913313,,81.35913313
16450065458,,79.90566038,,79.90566038
16450065459,,78.40065147,,78.40065147
16450065460,,85.04531722,,85.04531722
16450065461,,77.50819672,,77.50819672
16450065462,,78.57309942,,78.57309942
16450065463,,77.80555556,,77.80555556
16450065464,,79.45482866,,79.45482866
16450065465,,79.10932476,,79.10932476
16450065466,,80.65988372,,80.65988372
16450065467,,80.2614841,,80.2614841
16450065468,,78.45953757,,78.45953757
16450065469,,77.05900621,,77.05900621
16450065470,,82.14723926,,82.14723926
16450065471,,77.6030303,,77.6030303
16450065472,,77.83850932,,77.83850932
16450065473,,76.66564417,,76.66564417
16450065474,,82.14110429,,82.14110429
16450065475,,77.53465347,,77.53465347
16450065476,,71.63432836,81.2,72.45051195
16450065477,,62.22222222,59.36,61.95522388
16450065478,,53.74898785,54.46,53.86868687
16450065479,,46.60368664,46.9,46.65917603
16450065480,,42.60869565,44.90769231,43.2699115
16450065481,,41.31707317,34.7254902,38.78947368
16450065482,,27.95833333,27.35869565,27.62195122
16450065483,,28.5,27.54022989,27.73394495
16450065484,,24.42857143,28.53763441,28.25
16450065485,,31.25,32.36,32.30379747
16450065486,,33,26.59375,26.85
16450065487,,28,28.50588235,28.5
16450065488,,,26.46808511,26.46808511
16450065489,,,25.38541667,25.38541667
16450065490,,,25.51960784,25.51960784
16450065491,,,25.69791667,25.69791667
16450065492,,,45.48148148,45.48148148
16450065493,,,26.70103093,26.70103093
16450065494,,,24.75510204,24.75510204
16450065495,,,27.20430108,27.20430108
16450065496,,,28.08333333,28.08333333
16450065497,,,25.98795181,25.98795181
16450065498,,,27.96226415,27.96226415
16450065499,,,24.77011494,24.77011494
16450065500,,,24.89108911,24.89108911
16450065501,,,28.21348315,28.21348315
16450065502,,,30.09473684,30.09473684
16450065503,,,33.98529412,33.98529412
16450065504,,,29.90540541,29.90540541
16450065505,,,27.27368421,27.27368421
16450065506,,,27.46236559,27.46236559
16450065507,,,40.63380282,40.63380282
16450065508,,,34.65333333,34.65333333
16450065509,,,26.28378378,26.28378378
16450065510,,,29.0952381,29.0952381
16450065511,,,29.87640449,29.87640449
16450065512,,,25.95918367,25.95918367
16450065513,,,30.78205128,30.78205128
16450065514,,,26.2755102,26.2755102
16450065515,,,35.35064935,35.35064935
16450065516,,,63.47058824,63.47058824
16450065517,,,26.68421053,26.68421053
16450065518,,,27.87096774,27.87096774
16450065519,,,27.93902439,27.93902439
16450065520,,,27.50515464,27.50515464
16450065521,,,25.50515464,25.50515464
16450065522,,,28.64948454,28.64948454
16450065523,,,29.81944444,29.81944444
16450065524,,,25.40196078,25.40196078
16450065525,,,24.92929293,24.92929293
16450065526,,,27.59036145,27.59036145
16450065527,,,29.71264368,29.71264368
16450065528,,,25.52884615,25.52884615
16450065529,,,24.71,24.71
16450065530,,,30.38461538,30.38461538
16450065531,,,26.82653061,26.82653061
16450065532,,,27.17777778,27.17777778
16450065533,,,26.04,26.04
16450065534,,,33.29069767,33.29069767
16450065535,,,26.62962963,26.62962963
16450065536,,,24.38297872,24.38297872
16450065537,,,26.24752475,26.24752475
16450065538,,,26.09473684,26.09473684
16450065539,,,35.04411765,35.04411765
16450065540,,,26.48453608,26.48453608
16450065541,,,26.80851064,26.80851064
16450065542,,,38.02439024,38.02439024
16450065543,,,32.91935484,32.91935484
16450065544,,,24.86021505,24.86021505
16450065545,,,24.93203883,24.93203883
16450065546,,,28.90425532,28.90425532
16450065547,,,41.66,41.66
16450065548,,,38.75675676,38.75675676
16450065549,,,26.98876404,26.98876404
16450065550,,,27.42045455,27.42045455
16450065551,,,24.83,24.83
16450065552,,,27.63218391,27.63218391
16450065553,,,30.47169811,30.47169811
16450065554,,,33.34482759,33.34482759
16450065555,,,34.27777778,34.27777778
16450065556,,,25.9375,25.9375
16450065557,,,25.72916667,25.72916667
16450065558,,,25.70873786,25.70873786
16450065559,,,35.25287356,35.25287356
16450065560,,,26,26
16450065561,,,26.49462366,26.49462366
16450065562,,,31.98684211,31.98684211
16450065563,,,27.59550562,27.59550562
16450065564,,,28.80208333,28.80208333
16450065565,,,25.11363636,25.11363636
16450065566,,,41.15254237,41.15254237
16450065567,,,37.51315789,37.51315789
16450065568,,,36.53030303,36.53030303
16450065569,,,27.23863636,27.23863636
16450065570,,,26.12371134,26.12371134
16450065571,,,26.29347826,26.29347826
16450065572,,,25.34653465,25.34653465
16450065573,,,26.17204301,26.17204301
16450065574,,,26.18269231,26.18269231
16450065575,,,39.35135135,39.35135135
16450065576,,,28.671875,28.671875
16450065577,,,26.88349515,26.88349515
16450065578,,,26.74117647,26.74117647
16450065579,,,28.40697674,28.40697674
16450065580,,,26.49494949,26.49494949
16450065581,,,26.40625,26.40625
16450065582,,,39.94202899,39.94202899
16450065583,,,32.10958904,32.10958904
16450065584,,,28.47959184,28.47959184
16450065585,,,29.66216216,29.66216216
16450065586,,,32.31884058,32.31884058
16450065587,,,25.97029703,25.97029703
16450065588,,,32.17857143,32.17857143
16450065589,,,25.86458333,25.86458333
16450065590,,,32.21621622,32.21621622
16450065591,,,26.7826087,26.7826087
16450065592,,,25.19387755,25.19387755
16450065593,,,32.51948052,32.51948052
16450065594,,,25.52083333,25.52083333
16450065595,,,25.24242424,25.24242424
16450065596,,,25.72916667,25.72916667
16450065597,,,26.97959184,26.97959184
16450065598,,,26.98888889,26.98888889
16450065599,,,27.75,27.75
16450065600,,,26.37113402,26.37113402
16450065601,,,26.7173913,26.7173913
16450065602,,,29.43157895,29.43157895
16450065603,,,28.21917808,28.21917808
16450065604,,,35.96103896,35.96103896
16450065605,,,27.53333333,27.53333333
16450065606,,,31.64864865,31.64864865
16450065607,,,27.93406593,27.93406593
16450065608,,,25.15217391,25.15217391
16450065609,,,26.73737374,26.73737374
16450065610,,,27.03296703,27.03296703
16450065611,,,28.61052632,28.61052632
16450065612,,,26.06593407,26.06593407
16450065613,,,32,32
16450065614,,,25.61538462,25.61538462
16450065615,,,30.60714286,30.60714286
16450065616,,,25.23762376,25.23762376
16450065617,,,34.5,34.5
16450065618,,,24.13684211,24.13684211
16450065619,,,25.29292929,25.29292929
16450065620,,,24.03846154,24.03846154
16450065621,,,27.61386139,27.61386139
16450065622,,,32.51428571,32.51428571
16450065623,,,26.08695652,26.08695652
16450065624,,,25.47959184,25.47959184
16450065625,,,26.15217391,26.15217391
16450065626,,,29.05747126,29.05747126
16450065627,,,27.53535354,27.53535354
16450065628,,,36.34246575,36.34246575
16450065629,,,25.27659574,25.27659574
16450065630,,,26.04494382,26.04494382
16450065631,,,32.14285714,32.14285714
16450065632,,,27.40243902,27.40243902
16450065633,,,27.32631579,27.32631579
16450065634,,,26,26
16450065635,,,32.86585366,32.86585366
16450065636,,,27.43820225,27.43820225
16450065637,,,28.11904762,28.11904762
16450065638,,,28.4516129,28.4516129
16450065639,,,26.58947368,26.58947368
16450065640,,,25.78723404,25.78723404
16450065641,,,26.67368421,26.67368421
16450065642,,,26.22826087,26.22826087
16450065643,,,26.46938776,26.46938776
16450065644,,,26.70652174,26.70652174
16450065645,,,25.9893617,25.9893617
16450065646,,,26.49019608,26.49019608
16450065647,,,27.41666667,27.41666667
16450065648,,,25.42,25.42
16450065649,,,26.07216495,26.07216495
16450065650,,,26.01052632,26.01052632
16450065651,,,25.28865979,25.28865979
16450065652,,,26.06315789,26.06315789
16450065653,,,25.93939394,25.93939394
16450065654,,,25.81443299,25.81443299
16450065655,,,26.82608696,26.82608696
16450065656,,,25.36363636,25.36363636
16450065657,,,26.44,26.44
16450065658,,,25.33695652,25.33695652
16450065659,,,30.5308642,30.5308642
16450065660,,,31.17721519,31.17721519
16450065661,,,26.06,26.06
16450065662,,,25.71578947,25.71578947
16450065663,,,25.01020408,25.01020408
16450065664,,,27.04040404,27.04040404
16450065665,,,25.66315789,25.66315789
16450065666,,,26.18085106,26.18085106
16450065667,,,25.21212121,25.21212121
16450065668,,,25.67,25.67
16450065669,,,32.1971831,32.1971831
16450065670,,,27.60204082,27.60204082
16450065671,,,35.62121212,35.62121212
16450065672,,,27.11340206,27.11340206
16450065673,,,39.32786885,39.32786885
16450065674,,,27.42105263,27.42105263
16450065675,,,29.48148148,29.48148148
16450065676,,,26.77894737,26.77894737
16450065677,,,24.47115385,24.47115385
16450065678,,,24.90909091,24.90909091
16450065679,,,25.77,25.77
16450065680,,,25.43157895,25.43157895
16450065681,,,25.37254902,25.37254902
16450065682,,,25.05882353,25.05882353
16450065683,,,26.35555556,26.35555556
16450065684,,,25.63366337,25.63366337
16450065685,,,26.13978495,26.13978495
16450065686,,,26.1875,26.1875
16450065687,,,27.0106383,27.0106383
16450065688,,,33.65333333,33.65333333
16450065689,,,28.66292135,28.66292135
16450065690,,,26.7752809,26.7752809
16450065691,,,27.98913043,27.98913043
16450065692,,,24.86868687,24.86868687
16450065693,,,24.24752475,24.24752475
16450065694,,,24.95876289,24.95876289
16450065695,,,25.14423077,25.14423077
16450065696,,,26.22340426,26.22340426
16450065697,,,25.09574468,25.09574468
16450065698,,,25.75757576,25.75757576
16450065699,,,27.8902439,27.8902439
16450065700,,,26.50704225,26.50704225
16450065701,,,29.4137931,29.4137931
16450065702,,,25.88333333,25.88333333
16450065703,,,24.33333333,24.33333333
16450065704,,,21.8,21.8
Grand Total,30.71354167,78.86654481,28.19105,62.52915257